ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
1,alc,R,"Low vowel /a/ and mid front vowel /e/, and to a lesser extent mid back vowel /o/, are frequently realized as [ə] (Clairis1985: 382--384; conditioning environment not described).",,alc-R1,Clairis1985[382--384]
2,alc,R,A word-initial vowel is often syncopated in rapid speech Clairis1985: 393.,,alc-R2,Clairis1985[393]
3,alc,R,"An interconsonantal vowel is often syncopated in rapid speech. Apparently only some consonants condition this process, but particulars are not described Clairis1985: 393.",,alc-R3,Clairis1985[393]
4,alc,C,Voiceless uvular stop [q] varies freely with affricated variant [qx] Clairis1985: 378.,,alc-C1,Clairis1985[378]
5,alc,C,Bilabial stop may be realized as a fricative Aguilera2001.,,alc-C2,Aguilera2001
6,alc,C,Voiceless alveolar fricative [s] may be realized as [h] word-finally Clairis1985: 372.,,alc-C3,Clairis1985[372]
7,alc,C,Aspirated uvular stop [q<sup>h</sup>] and velar fricative [x] vary freely with [h] Clairis1985: 377--378.,,alc-C4,Clairis1985[377--378]
8,alc,Tone,No,Tone-no,,
9,alc,Word_stress,Disagreement,Word_stress-disagreement,,Clairis1977;Clairis1985
10,alc,Word_stress_comment,"Clairis1977 claims stress, Clairis1985 claims not, that it varies across different tokens of same word or doesn’t occur at all",,,Clairis1977;Clairis1985
11,alc,Other_contrast,N/A,Other_contrast-na,,
12,alc,Sound_inventory_notes,"Clairis gives minimal pairs for /pʰ tʰ/, gives /q’ qʰ/ but not /k k’/. /e o/ vary quite widely. /e/ is [ə] 65.9% of the time word-medially. Clairis and Viegas Barros both consider glides and high vowels to be in complementary distribution, but have chosen glides as lexical representation.",,,
13,alc,N_consonants,21,,,
14,alc,N_elaborated_consonants,11,,,
15,alc,N_elaborations,3,,,
16,alc,N_vowel_qualities,3,,,
17,alc,Consonant_inventory,/p,Consonant_inventory-2F70,,
18,alc,Consonant_inventory,pʰ,Consonant_inventory-70CAB0,,
19,alc,Consonant_inventory,p’,Consonant_inventory-70E28099,,
20,alc,Consonant_inventory,t,Consonant_inventory-74,,
21,alc,Consonant_inventory,tʰ,Consonant_inventory-74CAB0,,
22,alc,Consonant_inventory,t’,Consonant_inventory-74E28099,,
23,alc,Consonant_inventory,q,Consonant_inventory-71,,
24,alc,Consonant_inventory,qʰ,Consonant_inventory-71CAB0,,
25,alc,Consonant_inventory,q’,Consonant_inventory-71E28099,,
26,alc,Consonant_inventory,t͡s,Consonant_inventory-74CDA173,,
27,alc,Consonant_inventory,t͡s’,Consonant_inventory-74CDA173E28099,,
28,alc,Consonant_inventory,s,Consonant_inventory-73,,
29,alc,Consonant_inventory,f,Consonant_inventory-66,,
30,alc,Consonant_inventory,x,Consonant_inventory-78,,
31,alc,Consonant_inventory,h,Consonant_inventory-68,,
32,alc,Consonant_inventory,m,Consonant_inventory-6D,,
33,alc,Consonant_inventory,n,Consonant_inventory-6E,,
34,alc,Consonant_inventory,l,Consonant_inventory-6C,,
35,alc,Consonant_inventory,ɾ,Consonant_inventory-C9BE,,
36,alc,Consonant_inventory,w,Consonant_inventory-77,,
37,alc,Consonant_inventory,j/,Consonant_inventory-6A2F,,
38,alc,Vowel_inventory,/e,Vowel_inventory-2F65,,
39,alc,Vowel_inventory,a,Vowel_inventory-61,,
40,alc,Vowel_inventory,o/,Vowel_inventory-6F2F,,
41,alc,Diphtong_inventory,/aw,Diphtong_inventory-2F6177,,
42,alc,Diphtong_inventory,ow/,Diphtong_inventory-6F772F,,
43,alc,Contrastive_length,None,Contrastive_length-none,,
44,alc,Contrastive_nasalization,None,Contrastive_nasalization-none,,
45,alc,Place,Bilabial,Place-bilabial,,
46,alc,Place,Alveolar,Place-alveolar,,
47,alc,Place,Velar,Place-velar,,
48,alc,Place,Uvular,Place-uvular,,
49,alc,Place,Glottal,Place-glottal,,
50,alc,Elaboration,Post-aspiration,Elaboration-postaspiration,,
51,alc,Elaboration,Ejective,Elaboration-ejective,,
52,alc,Elaboration,Uvular,Elaboration-uvular,,
53,alc,Manner,Stop,Manner-stop,,
54,alc,Manner,Affricate,Manner-affricate,,
55,alc,Manner,Fricative,Manner-fricative,,
56,alc,Manner,Nasal,Manner-nasal,,
57,alc,Manner,Flap/Tap,Manner-flaptap,,
58,alc,Manner,Central approximant,Manner-centralapproximant,,
59,alc,Manner,Lateral approximant,Manner-lateralapproximant,,
60,alc,Predictability_of_syllabic_consonants,N/A,,,
61,alc,Size_of_maximal_word_marginal_sequences_with_syllabic_obstruents,N/A,,,
62,alc,Complexity_category,Highly Complex,Complexity_category-highlycomplex,,
63,alc,Onset_obligatory,No,Onset_obligatory-no,,
64,alc,Coda_obligatory,No,Coda_obligatory-no,,
65,alc,Size_of_maximal_coda,3,,,
66,alc,Size_of_maximal_onset,4,,,
67,alc,Syllabic_consonant_patterns,N/A,Syllabic_consonant_patterns-na,,
68,alc,Vocalic_nucleus_patterns,Short vowels,Vocalic_nucleus_patterns-shortvowels,,
69,alc,Vocalic_nucleus_patterns,Diphthongs,Vocalic_nucleus_patterns-diphthongs,,
70,alc,Morphological_constituency_of_maximal_syllable_margin,"Morpheme-internal (Onset), Both patterns (Coda)",,,
71,alc,Morphological_pattern_of_syllabic_consonants,N/A,,,
72,alc,Canonical_syllable_structure,(C)(C)(C)(C)V(C)(C)(C),,,Clairis1985[391--401]
73,alc,Coda_restrictions,"/f j l m n ɾ s w/ do not appear in simple codas. In biconsonantal codas, C<sub>1</sub> is /f j l m n p q ɾ t w s/ and C₂ is /s q/. Triconsonantal codas include /lqs, rqs, qsq/.",,,
74,alc,Onset_restrictions,"All consonants except /ɾ/ occur in simple onsets. In biconsonantal onsets, C<sub>1</sub> may be /f q q' s t/ and C₂ may be /t͡ʃ s t t' j w q/. Triconsonantal onsets have same restrictions for C1; include /qsq, qst, sqw/. Example given of four-consonant onset is /qsqj/.",,,
75,alc,Syllable_structure_notes,"Clairis notes that large clusters are “unstable in rapid speech”, e.g. *qsqaɾ* > *sqaɾ*, ‘urine’ but that rapid speech can also produce clusters, e.g. future marker *seqwe* > *sqwe* (Clairis1985: 393).",,,Clairis1985[393]
76,als,R,"For many speakers in ordinary speech, unstressed /ə/ is not pronounced when word-final following a consonant (NewmarkEtAl1982: 11; for older speakers in southern Tosk region, vowel is retained but pronounced as [ɪ] in this context).",,als-R1,NewmarkEtAl1982[11]
77,als,R,"In rapid speech, mid central vowel /ə/ is optionally deleted when occurring between two consonants, of which C<sub>1</sub> is not /s z ʒ/. This deletion rarely occurs when both C<sub>1</sub> and C₂ are voiced Klippenstein2010: 21--22.",,als-R2,Klippenstein2010[21--22]
78,als,C,Fricatives /f θ v ð/ have occasional homorganic stop allophones pre-juncture and preceding a consonant Newmark1957.,,als-C1,Newmark1957
79,als,Differences_in_phonological_properties_of_stressed_and_unstressed_syllables,(none),,,
80,als,Suprasegmentals_notes,"In words without inflection, stress is final if that syllable is closed or ends in non-mid vowel, while stress falls on penultimate if final syllable ends in mid vowel (even if penultimate ends in mid vowel) Trommer2013. While vowel quality factors into stress assignment, it appears that there is no difference in the vowel quality contrasts in stressed and unstressed syllables.",,,Trommer2013
81,als,Phonetic_correlates_of_stress,Vowel duration (impressionistic),Phonetic_correlates_of_stress-voweldurationimpressionistic,,
82,als,Phonetic_correlates_of_stress,Intensity (impressionistic),Phonetic_correlates_of_stress-intensityimpressionistic,,
83,als,Phonetic_processes_conditioned_by_stress,Vowel reduction,Phonetic_processes_conditioned_by_stress-vowelreduction,,
84,als,Stress_placement,Morphologically or lexically conditioned,Stress_placement-morphologicallyorlexicallyconditioned,,
85,als,Tone,No,Tone-no,,
86,als,Word_stress,Yes,Word_stress-yes,,
87,als,Other_contrast,N/A,Other_contrast-na,,
88,als,Sound_inventory_notes,Vowel length and nasalization contrasts occur in Gheg dialect.,,,
89,als,N_consonants,29,,,
90,als,N_elaborations,4,,,
91,als,N_vowel_qualities,7,,,
92,als,Consonant_inventory,/p,Consonant_inventory-2F70,,
93,als,Consonant_inventory,b,Consonant_inventory-62,,
94,als,Consonant_inventory,t,Consonant_inventory-74,,
95,als,Consonant_inventory,d,Consonant_inventory-64,,
96,als,Consonant_inventory,c,Consonant_inventory-63,,
97,als,Consonant_inventory,ɟ,Consonant_inventory-C99F,,
98,als,Consonant_inventory,k,Consonant_inventory-6B,,
99,als,Consonant_inventory,ɡ,Consonant_inventory-C9A1,,
100,als,Consonant_inventory,t͡s,Consonant_inventory-74CDA173,,
101,als,Consonant_inventory,d͡z,Consonant_inventory-64CDA17A,,
102,als,Consonant_inventory,t͡ʃ,Consonant_inventory-74CDA1CA83,,
103,als,Consonant_inventory,d͡ʒ,Consonant_inventory-64CDA1CA92,,
104,als,Consonant_inventory,f,Consonant_inventory-66,,
105,als,Consonant_inventory,v,Consonant_inventory-76,,
106,als,Consonant_inventory,θ,Consonant_inventory-CEB8,,
107,als,Consonant_inventory,ð,Consonant_inventory-C3B0,,
108,als,Consonant_inventory,s,Consonant_inventory-73,,
109,als,Consonant_inventory,z,Consonant_inventory-7A,,
110,als,Consonant_inventory,ʃ,Consonant_inventory-CA83,,
111,als,Consonant_inventory,ʒ,Consonant_inventory-CA92,,
112,als,Consonant_inventory,h,Consonant_inventory-68,,
113,als,Consonant_inventory,m,Consonant_inventory-6D,,
114,als,Consonant_inventory,n,Consonant_inventory-6E,,
115,als,Consonant_inventory,ɲ,Consonant_inventory-C9B2,,
116,als,Consonant_inventory,l,Consonant_inventory-6C,,
117,als,Consonant_inventory,ɫ,Consonant_inventory-C9AB,,
118,als,Consonant_inventory,ɾ,Consonant_inventory-C9BE,,
119,als,Consonant_inventory,r,Consonant_inventory-72,,
120,als,Consonant_inventory,j/,Consonant_inventory-6A2F,,
121,als,Vowel_inventory,/i,Vowel_inventory-2F69,,
122,als,Vowel_inventory,y,Vowel_inventory-79,,
123,als,Vowel_inventory,ɛ,Vowel_inventory-C99B,,
124,als,Vowel_inventory,ə,Vowel_inventory-C999,,
125,als,Vowel_inventory,a,Vowel_inventory-61,,
126,als,Vowel_inventory,ɔ,Vowel_inventory-C994,,
127,als,Vowel_inventory,u/,Vowel_inventory-752F,,
128,als,Diphtong_inventory,/ie,Diphtong_inventory-2F6965,,
129,als,Diphtong_inventory,ua,Diphtong_inventory-7561,,
130,als,Diphtong_inventory,ye,Diphtong_inventory-7965,,
131,als,Diphtong_inventory,ue/,Diphtong_inventory-75652F,,
132,als,Contrastive_length,None,Contrastive_length-none,,
133,als,Contrastive_nasalization,None,Contrastive_nasalization-none,,
134,als,Place,Bilabial,Place-bilabial,,
135,als,Place,Dental,Place-dental,,
136,als,Place,Alveolar,Place-alveolar,,
137,als,Place,Palato-alveolar,Place-palatoalveolar,,
138,als,Place,Palatal,Place-palatal,,
139,als,Place,Velar,Place-velar,,
140,als,Place,Glottal,Place-glottal,,
141,als,Elaboration,Voiced fricative/affricate,Elaboration-voicedfricativeaffricate,,
142,als,Elaboration,Labiodental,Elaboration-labiodental,,
143,als,Elaboration,Palato-alveolar,Elaboration-palatoalveolar,,
144,als,Elaboration,Velarization,Elaboration-velarization,,
145,als,Manner,Stop,Manner-stop,,
146,als,Manner,Affricate,Manner-affricate,,
147,als,Manner,Fricative,Manner-fricative,,
148,als,Manner,Nasal,Manner-nasal,,
149,als,Manner,Flap/Tap,Manner-flaptap,,
150,als,Manner,Trill,Manner-trill,,
151,als,Manner,Central approximant,Manner-centralapproximant,,
152,als,Manner,Lateral approximant,Manner-lateralapproximant,,
153,als,Voicing_contrasts,Obstruents,Voicing_contrasts-obstruents,,
154,als,Predictability_of_syllabic_consonants,N/A,,,
155,als,Size_of_maximal_word_marginal_sequences_with_syllabic_obstruents,N/A,,,
156,als,Complexity_category,Highly Complex,Complexity_category-highlycomplex,,
157,als,Onset_obligatory,No,Onset_obligatory-no,,
158,als,Coda_obligatory,No,Coda_obligatory-no,,
159,als,Size_of_maximal_coda,3,,,
160,als,Size_of_maximal_onset,4,,,
161,als,Syllabic_consonant_patterns,N/A,Syllabic_consonant_patterns-na,,
162,als,Vocalic_nucleus_patterns,Short vowels,Vocalic_nucleus_patterns-shortvowels,,
163,als,Vocalic_nucleus_patterns,Diphthongs,Vocalic_nucleus_patterns-diphthongs,,
164,als,Morphological_constituency_of_maximal_syllable_margin,"Morpheme-internal (Coda), Morphologically Complex (Onset)",,,
165,als,Morphological_pattern_of_syllabic_consonants,N/A,,,
166,als,Canonical_syllable_structure,(C)(C)(C)(C)V(C)(C)(C),,,"Newmark1957[24--29,];Klippenstein2010"
